trip_number,location,next_location,dropoff_series,dropoff_status,vehicle_plate_no,month,day
7300111053,8070 BCFG Calamba,"DRM INTEGRAL DISTRIBUTORS, INC.",1,Scheduled,NBK 4650,11,17
7300111063,8174 BCFG DC Pinagbuhatan,"ALLDAY MARTS, INC. - VISTA GLOBAL S",1,Scheduled,AFA 8008,11,12
7300111069,8174 BCFG DC Pinagbuhatan,"EVER PLUS SUPERSTORE, INC.-VICAS",1,Completed,AAP3259,11,11
7300111072,8070 BCFG Calamba,PEOPLE'S DIST. SYSTEM CORP.- MILAOR,1,Scheduled,CAF3424,6,15
7300111102,8020 BCFG MCD,TASK FORCE MARKETING INC.,1,Scheduled,CAA5903,11,13
7300111103,8410 North Mega DC,SALESFORCE ONE MKTG INC. -SAN JOSE2,1,Scheduled,1303000009,11,11
7300111108,8174 BCFG DC Pinagbuhatan,"MATRIX MASTER MKTG., INC. - LOWER L",1,Completed,CAL4658,11,18
7300111134,8070 BCFG Calamba,PEOPLE'S DIST. SYSTEM CORP.-DAET,1,Scheduled,CAA7035,11,18
7300111144,8090 BCFG San Pablo,TASK FORCE MARKETING INC.,1,Scheduled,RLE 533,11,16
7300111146,8060 BCFG Tarlac,8410 North Mega DC,1,Scheduled,ACK3669,11,10
7300111152,8410 North Mega DC,MAKOBOBI DISTRIBUTORS - GEN TINIO,1,Scheduled,MUT 7160,11,18
7300111173,8050 BCFG Pampanga,"MATRIX MASTER MKTG., INC. - LOWER L",1,Scheduled,CAN6139,11,7
7300111223,8410 North Mega DC,DMAYA PLUS ENTERPRISES-ISABELA,1,Scheduled,BVU155,11,14
7300111224,8410 North Mega DC,KIMBERLIN ENTERPRISES - UGAC,1,Scheduled,ADK 5278,11,12
7300111229,8050 BCFG Pampanga,"KM 6 H/W, F/S & GEN. MDSE. - LA UNI",1,Scheduled,MGE 725,11,11
7300111240,8180 BCFG San Pedro 2,"MATRIX MASTER MKTG., INC. - LOWER L",1,Scheduled,MPK 6574,10,22
7300111250,8330 BCFG GMA MEGA DC,SANFORD MARKETING - ANGONO,1,Scheduled,NCK 7896,11,14
7300111252,8330 BCFG GMA MEGA DC,SANFORD MARKETING - MORONG,1,Scheduled,NAU 3058,11,14
7300111254,8330 BCFG GMA MEGA DC,SANFORD MARKETING - TANAY,1,Scheduled,NAU 3057,11,14
7300111255,8180 BCFG San Pedro 2,SALESFORCE ONE MKTG INC. - SAN JOSE,1,Scheduled,RNJ695,11,16
7300111257,8330 BCFG GMA MEGA DC,SANFORD MARKETING - PASONG TAMO,1,Scheduled,NBL 6471,11,14
7300111258,8330 BCFG GMA MEGA DC,SANFORD MARKETING - AMANG RODRIQUEZ,1,Scheduled,APA 4900,11,14
7300111261,8330 BCFG GMA MEGA DC,SANFORD MARKETING - FRC ZAPOTE,1,Scheduled,ACK 1579,11,14
7300111263,8330 BCFG GMA MEGA DC,SANFORD MARKETING - BLUMENTRITT,1,Scheduled,AVA 4336,11,14
7300111264,8330 BCFG GMA MEGA DC,SANFORD MARKETING - A. AVENUE,1,Scheduled,APA 4899,11,14
7300111329,8180 BCFG San Pedro 2,8174 BCFG DC Pinagbuhatan,1,Scheduled,ABK8200,11,12
7300111340,8330 BCFG GMA MEGA DC,SUPERVALUE - MANILA,1,Scheduled,NAU 3062,11,14
7300111349,8180 BCFG San Pedro 2,HEALTHYFOOD AND SNACKS DIST - IMUS,1,Scheduled,ALA 9170,11,16
7300111359,8330 BCFG GMA MEGA DC,SANFORD MARKETING - CAMARIN,1,Scheduled,WEX 171,11,14
7300111362,8330 BCFG GMA MEGA DC,SANFORD MARKETING - DELA FUENTE,1,Scheduled,AVA 3336,11,14
7300111369,8330 BCFG GMA MEGA DC,SANFORD MARKETING - MARULAS,1,Scheduled,UGB 720,11,14
7300111370,8330 BCFG GMA MEGA DC,SUPERVALUE - BF HOMES,1,Scheduled,AFA 6206,11,14
7300111372,8330 BCFG GMA MEGA DC,SAVEMORE - ANGONO 2,1,Scheduled,APA 4895,11,14
7300111376,8330 BCFG GMA MEGA DC,SAVEMORE - BINANGONAN,1,Scheduled,NBL 6477,11,14
7300111380,8330 BCFG GMA MEGA DC,SAVEMORE GREEN RESIDENCES,1,Scheduled,NBL 6471,11,14
7300111381,8330 BCFG GMA MEGA DC,SANFORD MARKETING - BAGBAGUIN,1,Scheduled,UGB 720,11,14
7300111382,8330 BCFG GMA MEGA DC,SANFORD MARKETING - ONE MALL,1,Scheduled,UGB 720,11,14
