log_location,booked_location,log_plate_no,booked_plate_no,gps_received,arrival,trip_number,group_names,time_difference,duration
Super SM - Tiendesitas,NA,UVL721,NA,2020-12-29T16:37:34Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
"MATRIX MASTER MKTG., INC.-SAN PABLO",NA,UYE 689,NA,2020-12-29T16:40:32Z,NA,NA,"DHL,DHL,Boyemma Trading",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAS7915,NA,2020-12-29T16:40:56Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8420 South Mega DC,NA,NCK6817,NA,2020-12-29T16:41:21Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,NA,ACJ8327,NA,2020-12-29T16:42:38Z,NA,NA,"DHL,ACJ Movers Trucking",NA,NA
"MATRIX MASTER MKTG., INC.-SAN PABLO",NA,UYE 689,NA,2020-12-29T16:42:50Z,NA,NA,"DHL,DHL,Boyemma Trading",NA,NA
8420 South Mega DC,NA,AUA6096,NA,2020-12-29T16:43:35Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8174 BCFG DC Pinagbuhatan,NA,SPC9047,NA,2020-12-29T16:44:24Z,NA,NA,"DHL,SPC Trucking",NA,NA
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T16:44:56Z,2020-12-28T23:01:00Z,7300239957,"DHL,Gods Favor",17H 43M 56S,63836s (~17.73 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T16:44:56Z,2020-12-28T23:01:00Z,7300240004,"DHL,Gods Favor",17H 43M 56S,63836s (~17.73 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T16:44:56Z,2020-12-30T04:39:27Z,7300241621,"DHL,Gods Favor",-11H -54M -31S,-42871s (~-11.91 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,CCN2589,CCN2589,2020-12-29T16:44:56Z,2021-01-04T09:00:00Z,7300245103,"DHL,Gods Favor",-5d -16H -15M -4S,-490504s (~-5.68 days)
8020 BCFG MCD,NA,CCO6756,NA,2020-12-29T16:45:29Z,NA,NA,"DHL,Gods Favor",NA,NA
8420 South Mega DC,NA,ACJ9509,NA,2020-12-29T16:46:23Z,NA,NA,"ACJ Movers Trucking,DHL",NA,NA
8420 South Mega DC,NA,WIH 423,NA,2020-12-29T16:47:20Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
8420 South Mega DC,NA,ABJ9350,NA,2020-12-29T16:47:55Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8030 BCFG Bagong Ilog,8030 BCFG Bagong Ilog,CCO9446,CCO9446,2020-12-29T16:49:02Z,2020-12-28T23:57:00Z,7300239090,"DHL,Gods Favor",16H 52M 2S,60722s (~16.87 hours)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,AWA2863,AWA2863,2020-12-29T16:49:03Z,2020-12-28T03:28:00Z,7300237784,"DHL,Gods Favor",1d 13H 21M 3S,134463s (~1.56 days)
8330 BCFG GMA MEGA DC,8330 BCFG GMA MEGA DC,AWA2863,AWA2863,2020-12-29T16:49:03Z,2020-12-28T03:29:00Z,7300237815,"DHL,Gods Favor",1d 13H 20M 3S,134403s (~1.56 days)
8020 BCFG MCD,8020 BCFG MCD,ABJ9979,ABJ9979,2020-12-29T16:49:15Z,2020-12-29T16:33:16Z,7300239929,DHL,15M 59S,959s (~15.98 minutes)
8174 BCFG DC Pinagbuhatan,NA,WIF929,NA,2020-12-29T16:50:00Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8174 BCFG DC Pinagbuhatan,NA,CAZ 2904,NA,2020-12-29T16:50:37Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8020 BCFG MCD,NA,NFZ3012,NA,2020-12-29T16:50:50Z,NA,NA,"DHL,Gods Favor",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ALA 7491,NA,2020-12-29T16:50:51Z,NA,NA,"DHL,Kwinber Trucking",NA,NA
8174 BCFG DC Pinagbuhatan,NA,AWA 6250,NA,2020-12-29T16:51:01Z,NA,NA,"DHL,Kilometrico Inc.",NA,NA
8070 BCFG Calamba,NA,AAT 4357,NA,2020-12-29T16:52:43Z,NA,NA,"DHL,Navill Trucking Services",NA,NA
8070 BCFG Calamba,NA,AUA9786,NA,2020-12-29T16:55:18Z,NA,NA,"DHL,DHL",NA,NA
SUPERVALUE - BANLIC DEPOT,NA,AUA9786,NA,2020-12-29T16:55:18Z,NA,NA,"DHL,DHL",NA,NA
SANFORD MARKETING - BANLIC DEPOT,NA,AUA9786,NA,2020-12-29T16:55:18Z,NA,NA,"DHL,DHL",NA,NA
8350 ELISCO EXPORT,NA,ABX 7380,NA,2020-12-29T16:55:51Z,NA,NA,"DHL,Boyemma Trading",NA,NA
SM Snack Exchange - Bicutan,NA,UVL721,NA,2020-12-29T16:57:10Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
Shakey's Pizza Commerce Inc.,NA,UVL721,NA,2020-12-29T16:57:56Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
SM Snack Exchange - Bicutan,NA,UVL721,NA,2020-12-29T16:57:56Z,NA,NA,"DHL,Gtycoon Logistics Corporation,Nestle",NA,NA
8070 BCFG Calamba,NA,AUA9786,NA,2020-12-29T16:58:41Z,NA,NA,"DHL,DHL",NA,NA
8174 BCFG DC Pinagbuhatan,NA,ABC 7388,NA,2020-12-29T16:58:55Z,NA,NA,"DHL,Tri-Axle Trading & Logistics Corp.",NA,NA
PUREGOLD PRICE CLUB - ALIW MEYC'N J,NA,AVA 4020,NA,2020-12-29T16:58:58Z,NA,NA,"DHL,TGG Truckers",NA,NA
PUREGOLD PRICE CLUB - MEYCAUAYAN JR,NA,AVA 4020,NA,2020-12-29T16:58:58Z,NA,NA,"DHL,TGG Truckers",NA,NA
PUREGOLD PRICE CLUB - ALIW MEYC'N J,NA,AVA 4020,NA,2020-12-29T17:00:58Z,NA,NA,"DHL,TGG Truckers",NA,NA
