trip_number,so_number,vehicle_plate_no,pickup_arrival,pickup_name,dropoff_arrival,dropoff_name
P300294184,NA,NA,2021-01-31T09:00:00Z,PH Tanauan - Source,2021-02-01T23:59:00Z,PH Meycauayan Grocery - Destination
P300291235,4038220715,ABJ9311,2021-01-23T23:00:00Z,PH Mandaue Grocery - Source,2021-01-25T23:30:00Z,NA
P300290236,4037895807,ADK4043,2021-01-21T03:21:00Z,PH Mandaue Grocery - Source,2021-01-23T13:00:00Z,Puregold Price Club - Kananga
P300291234,4038217512,ACN4785,2021-01-22T23:00:00Z,PH Mandaue Grocery - Source,2021-01-25T23:30:00Z,NA
P300296049,4038188938,ACO9617,2021-01-31T12:00:00Z,PH Mandaue Grocery - Source,2021-02-02T13:00:00Z,FDC - Bohol
P300296048,4038027627,ADK4043,2021-01-31T12:00:00Z,PH Mandaue Grocery - Source,2021-02-02T13:00:00Z,FDC - Bohol
P300294753,4038348234,AAT4643,2021-01-31T15:00:00Z,PH Cagayan Grocery - Source,2021-02-02T08:00:00Z,Gaisano Capital Surigao
P300296050,4038041891,ABK2825,2021-01-31T12:00:00Z,PH Mandaue Grocery - Source,2021-02-02T13:00:00Z,FDC - Bohol
P300289265,NA,NA,2021-01-25T22:00:00Z,"PH RM Foods, Inc. - Source",2021-01-26T23:59:00Z,PH Batino Grocery - Destination
P300290470,4037880711,GWB422,2021-01-18T09:00:00Z,PH Cofipack - Source,2021-01-22T08:00:00Z,"Maguindanao Distribution System,Inc"
P300290596,4037646029,137705,2021-01-21T15:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-22T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300263479,NA,NA,2021-01-19T21:44:43Z,PH Tanauan - Source,2021-01-20T00:00:00Z,"PH RM Foods, Inc. - Destination"
P300269948,4037052661,00000000,2021-01-11T23:00:00Z,PH Cagayan Grocery - Source,2021-01-12T09:00:00Z,FDC - General Santos
P300280854,4037411447,KVW909,2021-01-06T04:13:01Z,PH Cagayan Grocery - Source,2021-01-06T06:00:00Z,SM Supermarket - Cagayan De Oro 2
P300280425,4037697851,RJK 963,2021-01-04T23:21:20Z,PH Cagayan Grocery - Source,2021-01-05T08:00:00Z,Puregold Price Club - Butuan
P300288065,NA,NA,2021-01-20T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-21T23:59:00Z,PH Cagayan Grocery - Destination
P300288068,NA,NA,2021-01-19T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-20T23:59:00Z,PH Cagayan Grocery - Destination
P300288083,NA,NA,2021-01-21T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-22T23:59:00Z,PH Cagayan Grocery - Destination
P300282024,4037193326,KVU 103,2021-01-07T02:00:00Z,PH Cagayan Grocery - Source,2021-01-07T09:24:37Z,FDC - CDO
P300287405,NA,NA,2021-01-18T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-19T23:59:00Z,PH Cofipack - Destination
P300287753,NA,NA,2021-01-22T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T23:59:00Z,PH Cofipack - Destination
P300283921,NA,NAM6642,2021-01-16T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-17T23:59:00Z,PH Meycauayan Grocery - Destination
P300289283,NA,NA,2021-01-23T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-24T23:59:00Z,PH Batino Grocery - Destination
P300288059,NA,NA,2021-01-19T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-19T23:59:00Z,PH Cagayan Grocery - Destination
P300288048,NA,NA,2021-01-19T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-20T23:59:00Z,PH Cagayan Grocery - Destination
P300289495,4037571348,NA,2021-01-22T07:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T07:00:00Z,NCCC Supermarket - Panacan
P300288046,NA,NA,2021-01-24T09:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-24T12:59:00Z,PH Cagayan Grocery - Destination
P300281199,NA,NA,2021-01-10T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-10T23:30:00Z,PH Meycauayan Grocery - Destination
P300287410,NA,ANA8147,2021-01-21T10:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-22T23:59:00Z,PH Cofipack - Destination
P300282404,4037766526,AGA9704,2021-01-07T04:25:56Z,PH Cagayan Grocery - Source,2021-01-07T06:00:00Z,Unipace - Cagayan De Oro
P300288067,NA,NA,2021-01-18T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-19T23:59:00Z,PH Cagayan Grocery - Destination
P300282546,4037812995,ABK3311,2021-01-08T02:00:00Z,PH Cagayan Grocery - Source,2021-01-08T10:00:00Z,FDC - CDO
P300288078,NA,NA,2021-01-22T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T23:59:00Z,PH Cagayan Grocery - Destination
P300281151,4037481428,KVS151,2021-01-06T23:14:20Z,PH Cagayan Grocery - Source,2021-01-08T09:00:00Z,FDC - General Santos
P300283164,4037564470,KVX 123,2021-01-09T02:00:00Z,PH Cagayan Grocery - Source,2021-01-09T10:00:00Z,FDC - CDO
P300287755,NA,NA,2021-01-23T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-24T23:59:00Z,PH Cofipack - Destination
P300263481,NA,NA,2021-01-19T23:00:00Z,PH Tanauan - Source,2021-01-20T23:59:00Z,"PH RM Foods, Inc. - Destination"
P300279642,NA,NA,2021-01-07T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-08T23:59:00Z,PH Meycauayan Grocery - Destination
P300288071,NA,NA,2021-01-20T20:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-21T23:59:00Z,PH Cagayan Grocery - Destination
P300288088,NA,NA,2021-01-18T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-19T23:59:00Z,PH Cagayan Grocery - Destination
P300288076,NA,NA,2021-01-22T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T23:59:00Z,PH Cagayan Grocery - Destination
P300289287,NA,NA,2021-01-24T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-25T23:59:00Z,PH Batino Grocery - Destination
P300287765,NA,NA,2021-01-22T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T23:59:00Z,PH Cagayan Grocery - Destination
P300287761,NA,NA,2021-01-20T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-21T23:59:00Z,PH Cagayan Grocery - Destination
P300234829,NA,ANA8147,2021-01-05T01:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-06T23:00:00Z,PH Cofipack - Destination
P300287368,4037819706,ABD 1085,2021-01-16T02:00:00Z,PH Cagayan Grocery - Source,2021-01-16T09:24:37Z,FDC - CDO
P300280964,4037687104,NDC4767,2021-01-05T23:00:00Z,PH Cagayan Grocery - Source,2021-01-05T23:30:00Z,Suy Sing - Cagayan De Oro
P300288058,NA,NA,2021-01-18T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-19T23:59:00Z,PH Cagayan Grocery - Destination
P300288053,NA,NA,2021-01-23T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T14:59:00Z,PH Cagayan Grocery - Destination
P300288055,NA,NA,2021-01-20T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-24T23:59:00Z,PH Cagayan Grocery - Destination
P300283991,NA,JM2675,2021-01-14T23:59:00Z,PH Lipa CPW FG - Source,2021-01-15T00:00:00Z,PH Meycauayan Grocery - Destination
P300284410,NA,NA,2021-01-15T13:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T16:59:00Z,PH Cagayan Grocery - Destination
P300281139,4037585973,AWKDK 221,2021-01-06T23:00:00Z,PH Cagayan Grocery - Source,2021-01-07T09:00:00Z,FDC - Valencia
P300281195,NA,NA,2021-01-10T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-10T23:30:00Z,PH Meycauayan Grocery - Destination
P300285315,4037868884,ANA 8150,2021-01-11T23:10:00Z,PH Cagayan Grocery - Source,2021-01-12T09:16:29Z,FDC - Valencia
P300284448,NA,NA,2021-01-14T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284436,NA,NA,2021-01-13T01:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cagayan Grocery - Destination
P300286368,4037894892,NA,2021-01-14T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-14T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300282877,NA,NA,2021-01-09T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-10T23:59:00Z,PH Cofipack - Destination
P300281461,NA,NA,2021-01-10T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-10T23:30:00Z,PH Meycauayan Grocery - Destination
P300267162,NA,CCN 3362,2021-01-06T23:00:00Z,PH Batino Grocery - Source,2021-01-06T23:30:00Z,PH Meycauayan Grocery - Destination
P300288080,NA,NA,2021-01-23T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T18:59:00Z,PH Cagayan Grocery - Destination
P300281688,4037554554,NA,2021-01-06T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-08T14:00:00Z,FDC - Tacloban
P300288079,NA,NA,2021-01-22T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-23T23:59:00Z,PH Cagayan Grocery - Destination
P300283857,NA,NA,2021-01-16T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-17T23:59:00Z,PH Cofipack - Destination
P300283856,NA,NA,2021-01-15T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-16T23:59:00Z,PH Cofipack - Destination
P300283831,NA,NA,2021-01-14T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284419,NA,NA,2021-01-14T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300286365,4037854294,NA,2021-01-14T00:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-14T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300287000,4037983216,KVX 115,2021-01-15T06:17:40Z,PH Cagayan Grocery - Source,2021-01-15T07:00:00Z,Robinson's Supermarket - Cagayan de
P300288062,NA,ANA8147,2021-01-30T09:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-22T23:59:00Z,PH Cagayan Grocery - Destination
P300283833,NA,ANA8168,2021-01-26T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-16T23:59:00Z,PH Cagayan Grocery - Destination
P300283827,NA,137705,2021-01-25T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-13T23:59:00Z,PH Cagayan Grocery - Destination
P300283824,NA,FWN742,2021-01-25T09:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-12T23:59:00Z,PH Cagayan Grocery - Destination
P300284411,NA,NA,2021-01-15T20:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284415,NA,NA,2021-01-16T17:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-16T20:59:00Z,PH Cagayan Grocery - Destination
P300284460,NA,NA,2021-01-14T20:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284458,NA,NA,2021-01-13T11:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cagayan Grocery - Destination
P300284459,NA,NA,2021-01-13T13:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cagayan Grocery - Destination
P300284451,NA,NA,2021-01-15T17:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T20:59:00Z,PH Cagayan Grocery - Destination
P300284452,NA,NA,2021-01-14T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284447,NA,NA,2021-01-14T09:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284431,NA,NA,2021-01-13T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cagayan Grocery - Destination
P300291612,NA,NA,2021-01-27T06:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-27T09:59:00Z,PH Cagayan Grocery - Destination
P300291631,NA,NA,2021-01-30T17:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-02-03T23:59:00Z,PH Cagayan Grocery - Destination
P300279769,4036916495,JM0535,2021-01-04T00:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-04T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300279786,4037380862,137707,2021-01-03T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-05T14:00:00Z,FDC - Ormoc Grocery
P300279857,4037558754,ABB5593,2021-01-03T23:00:00Z,PH Cagayan Grocery - Source,2021-01-04T08:00:00Z,FDC - Valencia
P300279768,4037302961,NCE1173,2021-01-04T00:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-04T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300279887,4037443764,ABK3311,2021-01-04T05:35:23Z,PH Cagayan Grocery - Source,2021-01-04T10:00:00Z,FDC - CDO
P300279846,4037381101,ABJ9311,2021-01-05T23:00:00Z,PH Mandaue Grocery - Source,2021-01-07T23:30:00Z,FDC - Sogod Satellite Warehouse
P300279761,4037580307,ADC4768,2021-01-04T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-04T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300279787,4037261729,AMA2345,2021-01-03T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-05T14:00:00Z,FDC - Ormoc Grocery
P300279762,4037179482,NA,2021-01-04T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-04T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300279272,NA,JM3158,2021-01-02T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-03T23:59:00Z,PH Batino Grocery - Destination
P300279271,NA,NA,2021-01-02T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-03T23:59:00Z,PH Batino Grocery - Destination
P300279812,4037363417,ABJ9311,2021-01-03T23:00:00Z,PH Mandaue Grocery - Source,2021-01-05T23:30:00Z,FDC - Bohol
P300279911,4037568732,ABK 3773,2021-01-04T23:00:00Z,PH Cagayan Grocery - Source,2021-01-05T09:00:00Z,FDC - Valencia
P300279816,4037266633,ADK4043,2021-01-03T23:00:00Z,PH Mandaue Grocery - Source,2021-01-05T23:30:00Z,FDC - Bohol
P300276817,NA,ANA8168,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300276823,NA,NA,2021-01-02T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-03T00:00:00Z,PH Cagayan Grocery - Destination
P300276830,NA,NA,2021-01-02T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-03T00:00:00Z,PH Cagayan Grocery - Destination
P300276813,NA,RNE755,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300276811,NA,ANA8168,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300276812,NA,FWN742,2021-01-03T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-04T00:00:00Z,PH Cagayan Grocery - Destination
P300292932,4038167835,KVX170,2021-01-24T15:00:00Z,PH Cagayan Grocery - Source,2021-01-25T09:00:00Z,Valiant Distribution - CDO DC
P300291187,4038261637,ZF7596,2021-01-23T16:00:00Z,PH Cagayan Grocery - Source,2021-01-27T00:30:00Z,Save More - Tagum
P300291236,4038001695,KVX109,2021-01-23T23:00:00Z,PH Mandaue Grocery - Source,2021-01-25T23:30:00Z,Puregold Price Club - Abuyog
P300291011,4038118821,ABD1085,2021-01-23T12:00:00Z,PH Cagayan Grocery - Source,2021-01-25T08:00:00Z,MDSI - North Mindanao
P300290142,4038066573,AAV6308,2021-01-22T16:47:05Z,PH Cagayan Grocery - Source,2021-01-23T00:45:00Z,Puregold Price Club - Santo Tomas
P300290742,4038000703,KVX115,2021-01-22T01:00:00Z,PH Cagayan Grocery - Source,2021-01-22T07:00:00Z,Gaisano Citi Super Mall - Bulua
P300290815,4038143300,KAD4601,2021-01-21T17:00:00Z,PH Cagayan Grocery - Source,2021-01-22T07:00:00Z,Robinson's Supermarket - Cagayan de
P300289594,4038091941,RLE353,2021-01-19T23:10:00Z,PH Cagayan Grocery - Source,2021-01-20T10:16:29Z,FDC - Valencia
P300290849,4038000703,NA,2021-01-21T21:34:19Z,PH Cagayan Grocery - Source,2021-01-21T23:00:00Z,Gaisano Citi Super Mall - Bulua
P300288214,NA,NA,2021-01-19T23:00:00Z,PH Tanauan - Source,2021-01-20T23:59:00Z,PH Meycauayan Grocery - Destination
P300288202,NA,NA,2021-01-21T23:00:00Z,PH Tanauan - Source,2021-01-22T23:59:00Z,PH Meycauayan Grocery - Destination
P300288215,NA,NAM6643,2021-01-20T13:00:00Z,PH Tanauan - Source,2021-01-21T23:59:00Z,PH Meycauayan Grocery - Destination
P300285701,4037365540,KVX177,2021-01-12T14:00:00Z,PH Mandaue Grocery - Source,2021-01-13T14:00:00Z,FDC - Bohol
P300284072,4037771574,GAL9670,2021-01-11T23:07:00Z,PH Mandaue Grocery - Source,2021-01-13T06:44:00Z,Puregold Price Club - Abuyog
P300290404,4038030748,KVW907,2021-01-21T21:00:00Z,PH Mandaue Grocery - Source,2021-01-23T08:00:00Z,Puregold Price Club - Carigara
P300287664,NA,NAD6565,2021-01-20T01:00:00Z,PH Lipa CPW FG - Source,2021-01-21T23:59:59Z,PH Meycauayan Grocery - Destination
P300284579,NA,NAD6565,2021-01-17T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-18T23:59:00Z,PH Batino Grocery - Destination
P300284580,NA,JM3166,2021-01-17T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-18T23:59:00Z,PH Batino Grocery - Destination
P300290381,4038115714,KAD4601,2021-01-20T21:11:49Z,PH Cagayan Grocery - Source,2021-01-21T01:05:46Z,Save More - Kauswagan
P300289949,4038033726,KVX115,2021-01-20T05:13:01Z,PH Cagayan Grocery - Source,2021-01-20T06:00:00Z,SM Supermarket - Cagayan De Oro 2
P300290380,4038038305,AAT4643,2021-01-20T22:32:48Z,PH Cagayan Grocery - Source,2021-01-21T01:00:00Z,Valiant Distribution - CDO DC
P300290379,4038106395,RJK963,2021-01-21T03:55:56Z,PH Cagayan Grocery - Source,2021-01-21T09:00:00Z,Unipace - Cagayan De Oro
P300289950,4038032912,KVX170,2021-01-20T04:51:14Z,PH Cagayan Grocery - Source,2021-01-20T06:00:00Z,SM Supermarket - Cagayan
P300281075,4037581120,NA,2021-01-06T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-06T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300284434,NA,NA,2021-01-14T17:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284433,NA,NA,2021-01-14T13:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T23:59:00Z,PH Cagayan Grocery - Destination
P300284412,NA,NA,2021-01-16T13:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-16T16:59:00Z,PH Cagayan Grocery - Destination
P300281953,4037765848,NAT3144,2021-01-07T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-07T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300284413,NA,NA,2021-01-16T09:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-16T12:59:00Z,PH Cagayan Grocery - Destination
P300280603,4037112024,137705,2021-01-05T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-05T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300283117,4037559702,137705,2021-01-09T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-09T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300282545,4037808637,RJK963,2021-01-08T05:40:52Z,PH Cagayan Grocery - Source,2021-01-08T07:00:00Z,Fivel Food Service - Pacana
P300283165,4037532975,ZF7596,2021-01-09T06:35:23Z,PH Cagayan Grocery - Source,2021-01-09T10:00:00Z,FDC - CDO
P300283852,NA,NA,2021-01-13T23:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-14T23:59:00Z,PH Cofipack - Destination
P300283120,4037295705,NCE1173,2021-01-09T00:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-09T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300283320,4037817347,AAT4643,2021-01-09T04:10:36Z,PH Cagayan Grocery - Source,2021-01-09T06:00:00Z,Interpace Corporation -Carmen
P300281359,NA,NBG3012,2021-01-05T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-06T23:59:00Z,PH Batino Grocery - Destination
P300281348,NA,Nay3868,2021-01-08T17:00:00Z,"PH RM Foods, Inc. - Source",2021-01-09T00:00:00Z,PH Batino Grocery - Destination
P300278959,NA,JM3158,2021-01-02T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-03T23:59:00Z,PH Meycauayan Grocery - Destination
P300279641,NA,JM3158,2021-01-06T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-07T23:59:00Z,PH Meycauayan Grocery - Destination
P300283285,4037807504,WQC386,2021-01-09T23:00:00Z,PH Mandaue Grocery - Source,2021-01-11T09:00:00Z,Robinson's Supermarket - Ormoc
P300283429,4037543859,RLE353,2021-01-10T06:00:00Z,PH Cagayan Grocery - Source,2021-01-11T08:00:00Z,FDC - Valencia
P300283286,4037832333,ACN4785,2021-01-09T23:00:00Z,PH Mandaue Grocery - Source,2021-01-11T09:00:00Z,Robinson's Supermarket - Robinsons
P300283176,4037833658,ZF7596,2021-01-09T23:14:20Z,PH Cagayan Grocery - Source,2021-01-11T08:00:00Z,FDC - General Santos
P300280685,4037361677,RKF520,2021-01-05T14:00:00Z,PH Mandaue Grocery - Source,2021-01-06T14:00:00Z,FDC - Bohol
P300280686,4037353247,KVX177,2021-01-05T14:00:00Z,PH Mandaue Grocery - Source,2021-01-06T14:00:00Z,FDC - Bohol
P300283293,4037615382,ABB5593,2021-01-10T22:11:42Z,PH Cagayan Grocery - Source,2021-01-11T08:00:00Z,KCC Mall of Gensan
P300283512,4037890567,KVY444,2021-01-10T22:40:20Z,PH Cagayan Grocery - Source,2021-01-12T08:00:00Z,MDSI - North Mindanao
P300281345,NA,JM3162,2021-01-08T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-09T23:59:00Z,PH Batino Grocery - Destination
P300281344,NA,JM2675,2021-01-08T17:00:00Z,"PH RM Foods, Inc. - Source",2021-01-09T00:00:00Z,PH Batino Grocery - Destination
P300284804,NA,NA,2021-01-10T23:00:00Z,PH Tanauan - Source,2021-01-11T23:59:00Z,PH Meycauayan Grocery - Destination
P300282370,4037656614,ABK4138,2021-01-06T23:08:40Z,PH Cagayan Grocery - Source,2021-01-07T00:00:00Z,Philippine Vending Corporation - CDO
P300282829,4037770413,RJK963,2021-01-08T06:17:40Z,PH Cagayan Grocery - Source,2021-01-08T07:00:00Z,Robinson's Supermarket - Gusa
P300282573,4037360469,JM0535,2021-01-08T00:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-08T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300282028,4037384340,NFD9114,2021-01-07T23:00:00Z,PH Cagayan Grocery - Source,2021-01-08T10:16:29Z,FDC - Valencia
P300282043,4037366620,ANA 8150,2021-01-07T23:10:00Z,PH Cagayan Grocery - Source,2021-01-09T09:29:40Z,MDSI - North Mindanao
P300282828,4037778407,ABK4138,2021-01-08T06:17:40Z,PH Cagayan Grocery - Source,2021-01-08T07:00:00Z,Robinson's Supermarket - Cagayan de
P300283118,4037689468,KVX211,2021-01-09T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-09T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300282863,4037781484,RJK963,2021-01-08T21:54:29Z,PH Cagayan Grocery - Source,2021-01-09T00:00:00Z,Gaisano Capital - Balingasag
P300283870,NA,NAD6565,2021-01-15T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-16T23:59:00Z,PH Meycauayan Grocery - Destination
P300288849,4038074868,KVW954,2021-01-19T00:00:00Z,PH Cagayan Grocery - Source,2021-01-19T01:07:42Z,Suy Sing - Cagayan De Oro
P300276833,NA,UVQ414,2021-01-07T00:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-08T00:00:00Z,PH Cagayan Grocery - Destination
P300289490,4037798726,ACN4785,2021-01-19T00:53:00Z,PH Mandaue Grocery - Source,2021-01-21T08:00:00Z,Puregold Price Club - Alangalang
P300289267,NA,NA,2021-01-20T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-21T23:59:00Z,PH Batino Grocery - Destination
P300280430,4037302104,KVX115,2021-01-05T05:33:39Z,PH Cagayan Grocery - Source,2021-01-05T09:00:00Z,7-11 CDO Warehouse
P300286422,4037945316,NA,2021-01-14T00:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-14T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300283060,4037834611,ZF7663,2021-01-09T23:00:00Z,PH Mandaue Grocery - Source,2021-01-11T09:00:00Z,FDC - Sogod Satellite Warehouse
P300285495,4037909013,NCE1173,2021-01-12T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300282037,NA,NA,2021-01-12T23:00:00Z,PH Tanauan - Source,2021-01-12T23:59:00Z,PH Meycauayan Grocery - Destination
P300285686,4037582437,JM0535,2021-01-13T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-13T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300283289,4037786019,RLE353,2021-01-10T14:11:42Z,PH Cagayan Grocery - Source,2021-01-11T00:00:00Z,KCC Mall of Gensan
P300283100,4037591672,137701,2021-01-09T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-11T14:00:00Z,FDC - Ormoc Grocery
P300283406,4037829783,NA,2021-01-10T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T09:00:00Z,FDC - Ormoc Grocery
P300281362,NA,JM3158,2021-01-04T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-05T23:59:00Z,PH Batino Grocery - Destination
P300281361,NA,NA,2021-01-05T17:00:00Z,"PH RM Foods, Inc. - Source",2021-01-06T00:00:00Z,PH Batino Grocery - Destination
P300283062,4037816867,KVW907,2021-01-09T23:00:00Z,PH Mandaue Grocery - Source,2021-01-11T09:00:00Z,FDC - Sogod Satellite Warehouse
P300282572,4037363886,137701,2021-01-08T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-08T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300284409,NA,NA,2021-01-15T15:00:00Z,PH Cagayan De Oro Fac FG - Source,2021-01-15T18:59:00Z,PH Cagayan Grocery - Destination
P300282023,4037371727,ANA8150,2021-01-07T02:00:00Z,PH Cagayan Grocery - Source,2021-01-07T09:24:37Z,FDC - CDO
