trip_number,so_number,vehicle_plate_no,pickup_arrival,pickup_name,dropoff_arrival,dropoff_name
P300283096,4037276576,KVX211,2021-01-09T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-11T14:00:00Z,FDC - Tacloban
P300281360,NA,NA,2021-01-04T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-05T23:59:00Z,PH Batino Grocery - Destination
P300278958,NA,NAD6565,2021-01-02T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-03T23:59:00Z,PH Meycauayan Grocery - Destination
P300289021,4037810791,KDK221,2021-01-18T22:53:31Z,PH Cagayan Grocery - Source,2021-01-19T08:00:00Z,FDC - Valencia
P300287675,4037585256,NDC4767,2021-01-17T22:40:20Z,PH Cagayan Grocery - Source,2021-01-19T08:00:00Z,MDSI - North Mindanao
P300287548,4038038185,453277,2021-01-16T20:00:00Z,PH Cagayan Grocery - Source,2021-01-20T02:30:00Z,Save More - Tagum
P300281477,NA,NA,2021-01-10T23:59:00Z,PH Lipa CPW FG - Source,2021-01-11T00:00:00Z,PH Meycauayan Grocery - Destination
P300285493,4037449661,137704,2021-01-12T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300283398,4037866908,ZF7590,2021-01-10T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T09:00:00Z,FDC - Tacloban
P300286369,4037888643,137704,2021-01-14T15:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-14T16:00:00Z,No. 1 Supplier Inc. - Bacolod
P300286991,4037963302,RJK963,2021-01-15T06:09:57Z,PH Cagayan Grocery - Source,2021-01-15T07:00:00Z,Robinson's Supermarket - Limketkai
P300282415,4037807933,RLE353,2021-01-07T23:00:00Z,PH Cagayan Grocery - Source,2021-01-09T00:00:00Z,KCC Mall of Gensan
P300283290,4037549487,#130108,2021-01-10T14:11:42Z,PH Cagayan Grocery - Source,2021-01-11T00:00:00Z,KCC Mall of Gensan
P300281357,NA,JM3166,2021-01-05T17:00:00Z,"PH RM Foods, Inc. - Source",2021-01-06T00:00:00Z,PH Batino Grocery - Destination
P300281519,NA,NBC8024,2021-01-05T23:00:00Z,PH Tanauan - Source,2021-01-06T23:59:00Z,PH Meycauayan Grocery - Destination
P300284803,NA,NA,2021-01-10T23:00:00Z,PH Tanauan - Source,2021-01-11T23:59:00Z,PH Meycauayan Grocery - Destination
P300283352,4037827187,AAT4643,2021-01-09T02:42:08Z,PH Cagayan Grocery - Source,2021-01-11T08:00:00Z,Gaisano Grand - Bayugan
P300283183,4037851188,AVV6308,2021-01-08T22:00:00Z,PH Cagayan Grocery - Source,2021-01-12T01:30:00Z,Puregold Price Club - Santo Tomas
P300280688,4037473460,ABK2825,2021-01-05T14:00:00Z,PH Mandaue Grocery - Source,2021-01-06T14:00:00Z,FDC - Bohol
P300281533,NA,JM2675,2021-01-07T23:00:00Z,PH Tanauan - Source,2021-01-08T23:59:00Z,PH Meycauayan Grocery - Destination
P300283599,4037792298,AAT1635,2021-01-09T20:00:00Z,PH Cagayan Grocery - Source,2021-01-13T00:30:00Z,Save More - Tagum
P300283115,4037834575,KVX211,2021-01-09T19:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-09T20:00:00Z,No. 1 Supplier Inc. - Bacolod
P300282594,4037820372,KVW523,2021-01-07T21:00:00Z,PH Cagayan Grocery - Source,2021-01-11T00:45:00Z,Gaisano Mall of Tagum
P300281520,NA,NA,2021-01-06T23:00:00Z,PH Tanauan - Source,2021-01-07T23:59:00Z,PH Meycauayan Grocery - Destination
P300280684,4037576434,AMA2794,2021-01-05T14:00:00Z,PH Mandaue Grocery - Source,2021-01-06T14:00:00Z,FDC - Bohol
P300281532,NA,NA,2021-01-06T23:00:00Z,PH Tanauan - Source,2021-01-07T23:59:00Z,PH Meycauayan Grocery - Destination
P300281702,NA,NA,2021-01-10T23:00:00Z,PH NPI Lipa IFT - Source,2021-01-11T23:59:00Z,PH Meycauayan Grocery - Destination
P300280689,4037524446,NAM6641,2021-01-05T14:00:00Z,PH Mandaue Grocery - Source,2021-01-06T14:00:00Z,FDC - Bohol
P300281350,NA,NA,2021-01-07T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-08T23:59:00Z,PH Batino Grocery - Destination
P300283282,4037786145,ABK2825,2021-01-09T23:00:00Z,PH Mandaue Grocery - Source,2021-01-11T23:30:00Z,Robinson's Supermarket - Abucay
P300281349,NA,NA,2021-01-07T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-08T23:59:00Z,PH Batino Grocery - Destination
P300283492,4037681730,#1332376,2021-01-10T23:10:00Z,PH Cagayan Grocery - Source,2021-01-12T08:00:00Z,FDC - General Santos
P300282403,4037770795,KAD4601,2021-01-07T04:54:34Z,PH Cagayan Grocery - Source,2021-01-07T06:00:00Z,Gaisano City - JR Borja
P300281078,4037579104,JM0535,2021-01-06T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-06T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300281094,4037220013,ABK2825,2021-01-06T19:00:00Z,PH Mandaue Grocery - Source,2021-01-08T09:00:00Z,FDC - Sogod Satellite Warehouse
P300283686,4037830567,RJK963,2021-01-10T23:00:00Z,PH Cagayan Grocery - Source,2021-01-11T06:00:00Z,Gaisano - Butuan
P300283993,NA,NAD6565,2021-01-14T23:00:00Z,PH Lipa CPW FG - Source,2021-01-15T23:59:00Z,PH Meycauayan Grocery - Destination
P300283491,4037877269,ABB5458,2021-01-10T22:53:31Z,PH Cagayan Grocery - Source,2021-01-11T09:00:00Z,FDC - Valencia
P300285266,4037895128,130106,2021-01-11T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-11T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300285491,4037893093,137705,2021-01-12T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300281091,4037576596,KVW907,2021-01-05T12:54:00Z,PH Mandaue Grocery - Source,2021-01-07T14:00:00Z,FDC - Bohol
P300281882,4037545603,KVX109,2021-01-07T07:01:00Z,PH Mandaue Grocery - Source,2021-01-09T08:00:00Z,Puregold Price Club - Dulag Leyte
P300282595,4037272705,ACN8868,2021-01-07T21:00:00Z,PH Cagayan Grocery - Source,2021-01-11T01:00:00Z,"DSG & Sons, Inc. - Digos"
P300285497,4037563840,JM0535,2021-01-12T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-12T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300283116,4037567419,137705,2021-01-09T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-09T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300282026,4037556416,ZF7596,2021-01-07T23:00:00Z,PH Cagayan Grocery - Source,2021-01-08T10:16:29Z,FDC - Valencia
P300281076,4037262573,NA,2021-01-06T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-06T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300280641,4037468626,ADC4768,2021-01-05T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-07T23:30:00Z,FDC - Ormoc Grocery
P300280180,4037401139,ADC4768,2021-01-05T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-05T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300282040,4037387956,1008 02,2021-01-07T23:14:20Z,PH Cagayan Grocery - Source,2021-01-09T08:00:00Z,FDC - General Santos
P300282550,4037825673,ABJ8692,2021-01-09T03:43:31Z,PH Cagayan Grocery - Source,2021-01-09T08:00:00Z,FDC - Valencia
P300282862,4037829064,ABK4138,2021-01-07T14:59:00Z,PH Cagayan Grocery - Source,2021-01-07T23:00:00Z,Gaisano Citi Super Mall - Bulua
P300281077,4037543965,JM0535,2021-01-06T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-06T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300282569,4037554131,137701,2021-01-08T00:28:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-08T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300284588,NA,Nay3868,2021-01-15T23:00:00Z,"PH RM Foods, Inc. - Source",2021-01-16T23:59:00Z,PH Batino Grocery - Destination
P300288213,NA,NA,2021-01-19T23:00:00Z,PH Tanauan - Source,2021-01-20T23:59:00Z,PH Meycauayan Grocery - Destination
P300289825,4037886126,ABK3311,2021-01-20T02:00:00Z,PH Cagayan Grocery - Source,2021-01-20T09:24:37Z,FDC - CDO
P300290382,4038143405,KVX170,2021-01-21T22:28:40Z,PH Cagayan Grocery - Source,2021-01-22T09:00:00Z,Gaisano - Butuan
P300290065,NA,NBG3012,2021-01-21T17:00:00Z,PH Lipa CPW FG - Source,2021-01-25T00:00:00Z,PH Meycauayan Grocery - Destination
P300288178,NA,Nay3868,2021-01-19T18:00:00Z,PH NPI Lipa IFT - Source,2021-01-20T23:59:00Z,PH Meycauayan Grocery - Destination
P300290853,4038137561,ABK4138,2021-01-22T00:00:00Z,PH Cagayan Grocery - Source,2021-01-22T08:00:00Z,Suy Sing - Cagayan De Oro
P300289880,4037702295,137704,2021-01-20T23:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-20T23:30:00Z,No. 1 Supplier Inc. - Bacolod
P300290807,4038128839,AAT4643,2021-01-21T14:00:00Z,PH Cagayan Grocery - Source,2021-01-21T23:00:00Z,Robinson's Supermarket - Limketkai
P300292607,4038110983,KVX211,2021-01-23T14:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-25T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300290218,4038063699,ZF7663,2021-01-21T22:00:00Z,PH Mandaue Grocery - Source,2021-01-23T13:00:00Z,Puregold Price Club - Tacloban
P300291199,4037966519,KVW954,2021-01-22T16:00:00Z,PH Cagayan Grocery - Source,2021-01-23T07:00:00Z,Gaisano Citi Super Mall - Bulua
P300289948,4038049031,KVX109,2021-01-20T13:00:00Z,PH Mandaue Grocery - Source,2021-01-23T13:00:00Z,Puregold Price Club - Borongan
P300290814,4038146248,KAD4602,2021-01-21T15:00:00Z,PH Cagayan Grocery - Source,2021-01-21T23:10:00Z,The Marketplace - Ayala CDO
P300291200,4038192154,RJK963,2021-01-22T15:00:00Z,PH Cagayan Grocery - Source,2021-01-23T06:00:00Z,Gaisano City - JR Borja
P300290858,4038154782,AAT4643,2021-01-22T22:00:00Z,PH Cagayan Grocery - Source,2021-01-24T08:00:00Z,Gaisano Grand - Bayugan
P300290964,4037960216,ACN4785,2021-01-23T23:00:00Z,PH Mandaue Grocery - Source,2021-01-25T15:30:00Z,Gaisano Capital - Tacloban Main
P300292934,4038150423,KVX115,2021-01-24T15:00:00Z,PH Cagayan Grocery - Source,2021-01-24T22:18:52Z,Unipace - Cagayan De Oro
P300291330,4037886533,NA,2021-01-28T07:00:00Z,PH Cofipack - Source,2021-01-28T15:48:00Z,Rosabaya Distributors Incorporated
P300293000,4038139055,ABB5458,2021-01-25T14:00:00Z,PH Cagayan Grocery - Source,2021-01-27T08:00:00Z,FDC - General Santos
P300290000,4038030043,NAM6641,2021-01-19T14:00:00Z,PH Mandaue Grocery - Source,2021-01-20T14:00:00Z,FDC - Bohol
P300292870,4038223574,ACN4785,2021-01-25T15:00:00Z,PH Mandaue Grocery - Source,2021-01-27T15:00:00Z,Gaisano Capital - Central Store
P300291387,4038245834,KVS151,2021-01-24T17:00:00Z,PH Cagayan Grocery - Source,2021-01-26T08:00:00Z,KCC Mall of Gensan
P300292868,4038202219,KVW907,2021-01-24T19:00:00Z,PH Mandaue Grocery - Source,2021-01-27T00:00:00Z,Puregold Price Club - Sogod Leyte
P300293702,4037848223,NCE1173,2021-01-26T22:00:00Z,PH Bacolod - Mansilingan DC - Source,2021-01-28T08:00:00Z,No. 1 Supplier Inc. - Bacolod
P300293373,4038211546,KVX170,2021-01-26T18:00:00Z,PH Cagayan Grocery - Source,2021-01-27T06:00:00Z,SM Supermarket - Cagayan
