plateno,geofence_name,first_timestamp,last_timestamp,time_duration_at_geofence,time_next
130102,"PH RM Foods, Inc. - Source",2021-01-03 11:50:18,2021-01-03 14:29:52,9574s (~2.66 hours),42654s (~11.85 hours)
1301091079,"PH RM Foods, Inc. - Destination",2021-01-03 12:10:14,2021-01-03 17:15:08,18294s (~5.08 hours),-18294s (~-5.08 hours)
1301091079,"PH RM Foods, Inc. - Source",2021-01-03 12:10:14,2021-01-03 17:15:08,18294s (~5.08 hours),7221s (~2.01 hours)
ZF7596,PH Cagayan Grocery - Destination,2021-01-03 12:40:08,2021-01-04 02:25:32,49524s (~13.76 hours),-49235s (~-13.68 hours)
ZF7596,PH Cagayan Grocery - Source,2021-01-03 12:44:57,2021-01-04 02:25:04,49207s (~13.67 hours),273198s (~3.16 days)
RJK963,PH Cagayan Grocery - Destination,2021-01-03 14:43:24,2021-01-03 19:12:38,16154s (~4.49 hours),-16154s (~-4.49 hours)
RJK963,PH Cagayan Grocery - Source,2021-01-03 14:43:24,2021-01-03 19:12:38,16154s (~4.49 hours),25335s (~7.04 hours)
1301091079,PH Batino Grocery - Destination,2021-01-03 19:15:29,2021-01-04 05:09:43,35654s (~9.9 hours),-35526s (~-9.87 hours)
1301091079,PH Batino Grocery - Source,2021-01-03 19:17:37,2021-01-04 05:09:43,35526s (~9.87 hours),36833s (~10.23 hours)
MEG206,PH Cofipack - Destination,2021-01-04 00:47:55,2021-01-04 00:55:51,476s (~7.93 minutes),-476s (~-7.93 minutes)
MEG206,PH Cofipack - Source,2021-01-04 00:47:55,2021-01-04 00:56:01,486s (~8.1 minutes),4322s (~1.2 hours)
KAD4602,PH Cagayan Grocery - Destination,2021-01-04 01:06:21,2021-01-04 01:21:10,889s (~14.82 minutes),3426s (~57.1 minutes)
KAD4601,Robinson's Supermarket - Butuan,2021-01-04 01:32:35,2021-01-04 02:59:58,5243s (~1.46 hours),1119s (~18.65 minutes)
ADC4768,No. 1 Supplier Inc. - Bacolod,2021-01-04 01:43:50,2021-01-04 02:39:58,3368s (~56.13 minutes),88337s (~1.02 days)
MEG206,PH Cagayan Grocery - Destination,2021-01-04 02:08:03,2021-01-04 02:13:19,316s (~5.27 minutes),604577s (~7 days)
RJK963,FDC - CDO,2021-01-04 02:14:53,2021-01-04 03:21:33,4000s (~1.11 hours),-4000s (~-1.11 hours)
RJK963,Gaisano Citi Super Mall - Bulua,2021-01-04 02:14:53,2021-01-04 03:21:33,4000s (~1.11 hours),-3963s (~-1.1 hours)
RJK963,PH Cagayan De Oro Fac FG - Source,2021-01-04 02:15:30,2021-01-04 03:21:06,3936s (~1.09 hours),-3878s (~-1.08 hours)
RJK963,PH Cagayan De Oro Fac FG - Destination,2021-01-04 02:16:28,2021-01-04 03:21:06,3878s (~1.08 hours),17391s (~4.83 hours)
KAD4602,Save More - Kauswagan,2021-01-04 02:18:16,2021-01-04 02:56:08,2272s (~37.87 minutes),-2272s (~-37.87 minutes)
KAD4602,Save More - Kauswagan Depot,2021-01-04 02:18:16,2021-01-04 02:56:56,2320s (~38.67 minutes),285s (~4.75 minutes)
130102,PH Batino Grocery - Destination,2021-01-04 02:20:46,2021-01-04 06:27:34,14808s (~4.11 hours),-14711s (~-4.09 hours)
130102,PH Batino Grocery - Source,2021-01-04 02:22:23,2021-01-04 06:27:34,14711s (~4.09 hours),1335s (~22.25 minutes)
KAD4602,Save More - Capistrano,2021-01-04 03:01:41,2021-01-04 03:40:18,2317s (~38.62 minutes),1193s (~19.88 minutes)
NCE1173,No. 1 Supplier Inc. - Bacolod,2021-01-04 03:07:49,2021-01-04 04:21:16,4407s (~1.22 hours),6903s (~1.92 hours)
JM0535,No. 1 Supplier Inc. - Bacolod,2021-01-04 03:15:00,2021-01-04 06:21:26,11186s (~3.11 hours),2751s (~45.85 minutes)
KAD4601,Puregold Price Club - Butuan United,2021-01-04 03:18:37,2021-01-04 05:12:21,6824s (~1.9 hours),562s (~9.37 minutes)
ADC4769,PH Cofipack - Destination,2021-01-04 04:00:10,2021-01-04 04:47:28,2838s (~47.3 minutes),-2838s (~-47.3 minutes)
ADC4769,PH Cofipack - Source,2021-01-04 04:00:10,2021-01-04 04:47:28,2838s (~47.3 minutes),9793s (~2.72 hours)
KAD4602,SM Snack Exchange - CDO Downtown,2021-01-04 04:00:11,2021-01-04 05:23:39,5008s (~1.39 hours),-5008s (~-1.39 hours)
KAD4602,SM Supermarket - Cagayan De Oro 2,2021-01-04 04:00:11,2021-01-04 05:23:39,5008s (~1.39 hours),22888s (~6.36 hours)
KAD4601,Ralav Corporation - Butuan,2021-01-04 05:21:43,2021-01-04 07:08:49,6426s (~1.78 hours),-6419s (~-1.78 hours)
